1, none, deep_aether:aerglow_forest, CREATURE, aether:phyg, 10, 3, 4
40, forest, regions_unexplored:alpha_grove, MONSTER, endermanoverhaul:snowy_enderman, 10, 1, 4
41, forest, regions_unexplored:alpha_grove, MONSTER, eidolon:wraith, 50, 1, 3
42, forest, regions_unexplored:alpha_grove, MONSTER, creeperoverhaul:snowy_creeper, 50, 2, 2
43, forest, regions_unexplored:alpha_grove, MONSTER, earthmobsmod:stray_bone_spider, 10, 1, 1
44, forest, regions_unexplored:alpha_grove, MONSTER, earthmobsmod:zombified_rabbit, 12, 3, 4
45, forest, regions_unexplored:alpha_grove, MONSTER, earthmobsmod:skeleton_wolf, 10, 3, 4
46, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:sheep, 12, 4, 4
47, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:pig, 10, 4, 4
48, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:chicken, 10, 4, 4
49, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:cow, 10, 4, 4
50, forest, regions_unexplored:alpha_grove, CREATURE, unusualprehistory:kentrosaurus, 10, 3, 4
51, forest, regions_unexplored:alpha_grove, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
52, forest, regions_unexplored:alpha_grove, CREATURE, eidolon:slimy_slug, 10, 2, 3
53, forest, regions_unexplored:alpha_grove, CREATURE, meadow:wooly_cow, 10, 2, 3
54, forest, regions_unexplored:alpha_grove, CREATURE, eidolon:raven, 10, 2, 4
55, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:cow, 10, 2, 3
56, forest, regions_unexplored:alpha_grove, CREATURE, mythicmounts:firebird, 10, 1, 1
57, forest, regions_unexplored:alpha_grove, CREATURE, earthmobsmod:wooly_cow, 10, 3, 6
58, forest, regions_unexplored:alpha_grove, CREATURE, earthmobsmod:umbra_cow, 10, 3, 6
59, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:pig, 30, 1, 1
60, forest, regions_unexplored:alpha_grove, CREATURE, unusualprehistory:mammoth, 10, 3, 4
61, forest, regions_unexplored:alpha_grove, CREATURE, quark:stoneling, 10, 1, 1
62, forest, regions_unexplored:alpha_grove, CREATURE, mythicmounts:acencia, 15, 2, 3
63, forest, regions_unexplored:alpha_grove, AMBIENT, minecraft:bat, 10, 8, 8
64, forest, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
65, forest, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, species:deepfish, 50, 4, 6
66, forest, regions_unexplored:alpha_grove, rascals, friendsandfoes:rascal, 10, 1, 1
67, the_end, far_end:amethyst_forest, MONSTER, minecraft:enderman, 5, 4, 4
68, the_end, far_end:amethyst_forest, MONSTER, endermanoverhaul:end_islands_enderman, 10, 1, 1
69, none, regions_unexplored:ancient_delta, MONSTER, minecraft:spider, 50, 4, 4
70, none, regions_unexplored:ancient_delta, MONSTER, minecraft:zombie, 50, 4, 4
71, none, regions_unexplored:ancient_delta, MONSTER, minecraft:zombie_villager, 10, 1, 1
72, none, regions_unexplored:ancient_delta, MONSTER, minecraft:skeleton, 50, 4, 4
73, none, regions_unexplored:ancient_delta, MONSTER, minecraft:creeper, 50, 4, 4
74, none, regions_unexplored:ancient_delta, MONSTER, minecraft:slime, 50, 4, 4
75, none, regions_unexplored:ancient_delta, MONSTER, minecraft:witch, 5, 1, 1
76, none, regions_unexplored:ancient_delta, MONSTER, eidolon:zombie_brute, 50, 1, 3
77, none, regions_unexplored:ancient_delta, MONSTER, eidolon:wraith, 50, 1, 3
78, none, regions_unexplored:ancient_delta, MONSTER, earthmobsmod:zombified_rabbit, 12, 3, 4
79, none, regions_unexplored:ancient_delta, CREATURE, eidolon:slimy_slug, 10, 2, 3
80, none, regions_unexplored:ancient_delta, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
81, none, regions_unexplored:ancient_delta, CREATURE, mythicmounts:firebird, 10, 1, 1
82, none, regions_unexplored:ancient_delta, CREATURE, minecraft:pig, 30, 1, 1
83, none, regions_unexplored:ancient_delta, AMBIENT, minecraft:bat, 10, 8, 8
84, none, regions_unexplored:ancient_delta, AMBIENT, mythicmounts:geckotoalizard, 10, 1, 1
85, none, regions_unexplored:ancient_delta, AMBIENT, mythicmounts:dragon, 10, 1, 1
86, none, regions_unexplored:ancient_delta, AXOLOTLS, minecraft:axolotl, 10, 4, 6
87, none, regions_unexplored:ancient_delta, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
88, none, regions_unexplored:ancient_delta, UNDERGROUND_WATER_CREATURE, species:deepfish, 50, 4, 6
89, none, regions_unexplored:ancient_delta, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
90, none, spawn:ant_gardens, MONSTER, minecraft:spider, 50, 4, 4
91, none, spawn:ant_gardens, MONSTER, minecraft:zombie, 50, 4, 4
92, none, spawn:ant_gardens, MONSTER, minecraft:zombie_villager, 10, 1, 1
93, none, spawn:ant_gardens, MONSTER, minecraft:skeleton, 50, 4, 4
94, none, spawn:ant_gardens, MONSTER, minecraft:creeper, 50, 4, 4
95, none, spawn:ant_gardens, MONSTER, minecraft:slime, 50, 4, 4
96, none, spawn:ant_gardens, MONSTER, minecraft:enderman, 5, 1, 4
97, none, spawn:ant_gardens, MONSTER, minecraft:witch, 5, 1, 1
98, none, spawn:ant_gardens, CREATURE, minecraft:sheep, 12, 4, 4
99, none, spawn:ant_gardens, CREATURE, minecraft:pig, 10, 4, 4
100, none, spawn:ant_gardens, CREATURE, minecraft:chicken, 10, 4, 4
101, none, spawn:ant_gardens, CREATURE, minecraft:cow, 10, 4, 4
102, none, spawn:ant_gardens, CREATURE, minecraft:horse, 10, 2, 6
103, none, spawn:ant_gardens, CREATURE, minecraft:donkey, 10, 1, 3
104, none, spawn:ant_gardens, CREATURE, spawn:ant, 20, 1, 3
105, none, spawn:ant_gardens, AMBIENT, minecraft:bat, 10, 8, 8
106, none, spawn:ant_gardens, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
107, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:spider, 50, 4, 4
108, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie, 50, 4, 4
109, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie_villager, 10, 1, 1
110, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:skeleton, 50, 4, 4
111, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:creeper, 50, 4, 4
112, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:slime, 50, 4, 4
113, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:enderman, 5, 1, 4
114, extreme_hills, regions_unexplored:arid_mountains, MONSTER, minecraft:witch, 5, 1, 1
115, extreme_hills, regions_unexplored:arid_mountains, MONSTER, eidolon:zombie_brute, 50, 1, 3
116, extreme_hills, regions_unexplored:arid_mountains, MONSTER, eidolon:wraith, 50, 1, 3
117, extreme_hills, regions_unexplored:arid_mountains, MONSTER, earthmobsmod:bouldering_zombie, 20, 4, 4
118, extreme_hills, regions_unexplored:arid_mountains, MONSTER, earthmobsmod:zombified_rabbit, 12, 3, 4
119, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:sheep, 12, 4, 4
120, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:pig, 10, 4, 4
121, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:chicken, 10, 4, 4
122, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:cow, 10, 4, 4
123, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:rabbit, 10, 2, 3
124, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:llama, 10, 4, 6
125, extreme_hills, regions_unexplored:arid_mountains, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
126, extreme_hills, regions_unexplored:arid_mountains, CREATURE, unusualprehistory:smilodon, 10, 2, 4
127, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:sheep, 10, 2, 3
128, extreme_hills, regions_unexplored:arid_mountains, CREATURE, mythicmounts:firebird, 10, 1, 1
129, extreme_hills, regions_unexplored:arid_mountains, CREATURE, earthmobsmod:horned_sheep, 10, 3, 6
130, extreme_hills, regions_unexplored:arid_mountains, CREATURE, minecraft:pig, 30, 1, 1
131, extreme_hills, regions_unexplored:arid_mountains, CREATURE, quark:stoneling, 10, 1, 1
132, extreme_hills, regions_unexplored:arid_mountains, CREATURE, mythicmounts:griffon, 10, 1, 1
133, extreme_hills, regions_unexplored:arid_mountains, AMBIENT, minecraft:bat, 10, 8, 8
134, extreme_hills, regions_unexplored:arid_mountains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
135, extreme_hills, regions_unexplored:arid_mountains, UNDERGROUND_WATER_CREATURE, species:deepfish, 50, 4, 6
136, extreme_hills, regions_unexplored:arid_mountains, rascals, friendsandfoes:rascal, 10, 1, 1
137, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:creeper, 50, 4, 4
138, none, regions_unexplored:ashen_woodland, MONSTER, minecraft:husk, 50, 4, 4
139, none, regions_unexplored:ashen_woodland, MONSTER, eidolon:zombie_brute, 50, 1, 3
140, none, regions_unexplored:ashen_woodland, MONSTER, eidolon:wraith, 50, 1, 3
141, none, regions_unexplored:ashen_woodland, MONSTER, earthmobsmod:bone_spider, 10, 1, 1
142, none, regions_unexplored:ashen_woodland, MONSTER, earthmobsmod:zombified_rabbit, 12, 3, 4
143, none, regions_unexplored:ashen_woodland, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
144, none, regions_unexplored:ashen_woodland, CREATURE, mythicmounts:firebird, 10, 1, 1
145, none, regions_unexplored:ashen_woodland, CREATURE, minecraft:pig, 30, 1, 1
146, none, regions_unexplored:ashen_woodland, AMBIENT, minecraft:bat, 10, 8, 8
147, none, regions_unexplored:ashen_woodland, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
148, none, regions_unexplored:ashen_woodland, UNDERGROUND_WATER_CREATURE, species:deepfish, 50, 4, 6
149, none, regions_unexplored:ashen_woodland, rascals, friendsandfoes:rascal, 10, 1, 1
150, the_end, far_end:ashfall_delta, MONSTER, minecraft:wither_skeleton, 10, 1, 2
151, the_end, far_end:ashfall_delta, MONSTER, minecraft:skeleton, 11, 2, 2
152, none, mysticsbiomes:autumnal_grove, MONSTER, minecraft:spider, 50, 4, 4
153, none, mysticsbiomes:autumnal_grove, MONSTER, minecraft:zombie, 50, 4, 4
154, none, mysticsbiomes:autumnal_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
155, none, mysticsbiomes:autumnal_grove, MONSTER, minecraft:skeleton, 50, 4, 4
156, none, mysticsbiomes:autumnal_grove, MONSTER, minecraft:creeper, 50, 4, 4
157, none, mysticsbiomes:autumnal_grove, MONSTER, minecraft:slime, 50, 4, 4
158, none, mysticsbiomes:autumnal_grove, MONSTER, minecraft:witch, 5, 1, 1
159, none, mysticsbiomes:autumnal_grove, CREATURE, minecraft:fox, 32, 2, 5
160, none, mysticsbiomes:autumnal_grove, CREATURE, eidolon:slimy_slug, 10, 2, 3
161, none, mysticsbiomes:autumnal_grove, CREATURE, mythicmounts:acencia, 15, 2, 3
162, none, mysticsbiomes:autumnal_grove, AMBIENT, minecraft:bat, 10, 8, 8
163, none, mysticsbiomes:autumnal_grove, AMBIENT, minecraft:bat, 10, 8, 8
164, none, mysticsbiomes:autumnal_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
165, none, mysticsbiomes:autumnal_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
166, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:spider, 50, 4, 4
167, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie, 50, 4, 4
168, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
169, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:skeleton, 50, 4, 4
170, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:creeper, 50, 4, 4
171, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:slime, 50, 4, 4
172, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:enderman, 5, 1, 4
173, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:witch, 5, 1, 1
174, forest, regions_unexplored:autumnal_maple_forest, MONSTER, eidolon:zombie_brute, 50, 1, 3
175, forest, regions_unexplored:autumnal_maple_forest, MONSTER, eidolon:wraith, 50, 1, 3
176, forest, regions_unexplored:autumnal_maple_forest, MONSTER, earthmobsmod:stray_bone_spider, 10, 1, 1
177, forest, regions_unexplored:autumnal_maple_forest, MONSTER, earthmobsmod:zombified_rabbit, 12, 3, 4
178, forest, regions_unexplored:autumnal_maple_forest, MONSTER, earthmobsmod:skeleton_wolf, 10, 3, 4
179, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:sheep, 12, 4, 4
180, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:pig, 10, 4, 4
181, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:chicken, 10, 4, 4
182, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:cow, 10, 4, 4
183, forest, regions_unexplored:autumnal_maple_forest, CREATURE, unusualprehistory:kentrosaurus, 10, 3, 4
184, forest, regions_unexplored:autumnal_maple_forest, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
185, forest, regions_unexplored:autumnal_maple_forest, CREATURE, eidolon:slimy_slug, 10, 2, 3
186, forest, regions_unexplored:autumnal_maple_forest, CREATURE, unusualprehistory:smilodon, 10, 2, 4
187, forest, regions_unexplored:autumnal_maple_forest, CREATURE, meadow:wooly_cow, 10, 2, 3
188, forest, regions_unexplored:autumnal_maple_forest, CREATURE, eidolon:raven, 10, 2, 4
189, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:cow, 10, 2, 3
190, forest, regions_unexplored:autumnal_maple_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
191, forest, regions_unexplored:autumnal_maple_forest, CREATURE, earthmobsmod:wooly_cow, 10, 3, 6
192, forest, regions_unexplored:autumnal_maple_forest, CREATURE, earthmobsmod:umbra_cow, 10, 3, 6
193, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:pig, 30, 1, 1
194, forest, regions_unexplored:autumnal_maple_forest, CREATURE, unusualprehistory:mammoth, 10, 3, 4
195, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:morpho, 10, 1, 2
196, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:forester, 10, 1, 2
197, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:common, 10, 1, 2
198, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:emperor, 10, 1, 2
199, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:hairstreak, 10, 1, 2
200, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:rainbow, 10, 1, 2
201, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:heath, 10, 1, 2
202, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:glasswing, 10, 1, 2
203, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:chalkhill, 10, 1, 2
204, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:swallowtail, 10, 1, 2
205, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:monarch, 10, 1, 2
206, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:cabbage, 10, 1, 2
207, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:admiral, 10, 1, 2
208, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:longwing, 10, 1, 2
209, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:clipper, 10, 1, 2
210, forest, regions_unexplored:autumnal_maple_forest, CREATURE, butterflies:buckeye, 10, 1, 2
211, forest, regions_unexplored:autumnal_maple_forest, CREATURE, quark:stoneling, 10, 1, 1
212, forest, regions_unexplored:autumnal_maple_forest, AMBIENT, minecraft:bat, 10, 8, 8
213, forest, regions_unexplored:autumnal_maple_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
214, forest, regions_unexplored:autumnal_maple_forest, UNDERGROUND_WATER_CREATURE, species:deepfish, 50, 4, 6
215, forest, regions_unexplored:autumnal_maple_forest, rascals, friendsandfoes:rascal, 10, 1, 1
216, badlands, minecraft:badlands, MONSTER, minecraft:spider, 50, 4, 4
217, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 50, 4, 4
218, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
219, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 50, 4, 4
220, badlands, minecraft:badlands, MONSTER, minecraft:slime, 50, 4, 4
221, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
222, badlands, minecraft:badlands, MONSTER, eidolon:zombie_brute, 50, 1, 3
223, badlands, minecraft:badlands, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
224, badlands, minecraft:badlands, MONSTER, eidolon:wraith, 50, 1, 3
225, badlands, minecraft:badlands, MONSTER, endermanoverhaul:badlands_enderman, 10, 1, 4
226, badlands, minecraft:badlands, MONSTER, earthmobsmod:zombified_rabbit, 12, 3, 4
227, badlands, minecraft:badlands, MONSTER, creeperoverhaul:badlands_creeper, 50, 2, 2
228, badlands, minecraft:badlands, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
229, badlands, minecraft:badlands, CREATURE, species:roombug, 10, 1, 3
230, badlands, minecraft:badlands, CREATURE, unusualprehistory:veloci, 10, 3, 4
231, badlands, minecraft:badlands, CREATURE, unusualprehistory:coty, 10, 3, 4
232, badlands, minecraft:badlands, CREATURE, mythicmounts:firebird, 10, 1, 1
233, badlands, minecraft:badlands, CREATURE, species:limpet, 10, 1, 1
234, badlands, minecraft:badlands, CREATURE, minecraft:pig, 30, 1, 1
235, badlands, minecraft:badlands, CREATURE, quark:stoneling, 10, 1, 1
236, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
237, badlands, minecraft:badlands, AMBIENT, mythicmounts:geckotoalizard, 10, 1, 1
238, badlands, minecraft:badlands, AMBIENT, mythicmounts:dragon, 10, 1, 1
239, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
240, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, species:deepfish, 50, 4, 6
241, badlands, minecraft:badlands, rascals, friendsandfoes:rascal, 10, 1, 1
242, none, mysticsbiomes:bamboo_blossom_forest, MONSTER, minecraft:spider, 50, 4, 4
243, none, mysticsbiomes:bamboo_blossom_forest, MONSTER, minecraft:zombie, 50, 4, 4
244, none, mysticsbiomes:bamboo_blossom_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
245, none, mysticsbiomes:bamboo_blossom_forest, MONSTER, minecraft:skeleton, 50, 4, 4
246, none, mysticsbiomes:bamboo_blossom_forest, MONSTER, minecraft:creeper, 50, 4, 4
247, none, mysticsbiomes:bamboo_blossom_forest, MONSTER, minecraft:slime, 50, 4, 4
248, none, mysticsbiomes:bamboo_blossom_forest, MONSTER, minecraft:enderman, 5, 1, 4
249, none, mysticsbiomes:bamboo_blossom_forest, MONSTER, minecraft:witch, 5, 1, 1
250, none, mysticsbiomes:bamboo_blossom_forest, CREATURE, eidolon:slimy_slug, 10, 2, 3
251, none, mysticsbiomes:bamboo_blossom_forest, CREATURE, unusualprehistory:smilodon, 10, 2, 4
252, none, mysticsbiomes:bamboo_blossom_forest, CREATURE, unusualprehistory:mammoth, 10, 3, 4
253, none, mysticsbiomes:bamboo_blossom_forest, CREATURE, minecraft:panda, 50, 1, 2
254, none, mysticsbiomes:bamboo_blossom_forest, AMBIENT, minecraft:bat, 10, 8, 8
255, none, mysticsbiomes:bamboo_blossom_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
256, forest, regions_unexplored:bamboo_forest, MONSTER, minecraft:spider, 50, 4, 4
257, forest, regions_unexplored:bamboo_forest, MONSTER, minecraft:zombie, 50, 4, 4
258, forest, regions_unexplored:bamboo_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
259, forest, regions_unexplored:bamboo_forest, MONSTER, minecraft:skeleton, 50, 4, 4
260, forest, regions_unexplored:bamboo_forest, MONSTER, minecraft:creeper, 50, 4, 4
261, forest, regions_unexplored:bamboo_forest, MONSTER, minecraft:slime, 50, 4, 4
262, forest, regions_unexplored:bamboo_forest, MONSTER, minecraft:enderman, 5, 1, 4
263, forest, regions_unexplored:bamboo_forest, MONSTER, minecraft:witch, 5, 1, 1
264, forest, regions_unexplored:bamboo_forest, MONSTER, eidolon:zombie_brute, 50, 1, 3
265, forest, regions_unexplored:bamboo_forest, MONSTER, eidolon:wraith, 50, 1, 3
266, forest, regions_unexplored:bamboo_forest, MONSTER, earthmobsmod:zombified_rabbit, 12, 3, 4
267, forest, regions_unexplored:bamboo_forest, MONSTER, earthmobsmod:skeleton_wolf, 10, 3, 4
268, forest, regions_unexplored:bamboo_forest, CREATURE, minecraft:sheep, 12, 4, 4
269, forest, regions_unexplored:bamboo_forest, CREATURE, minecraft:pig, 10, 4, 4
270, forest, regions_unexplored:bamboo_forest, CREATURE, minecraft:chicken, 10, 4, 4
271, forest, regions_unexplored:bamboo_forest, CREATURE, minecraft:cow, 10, 4, 4
272, forest, regions_unexplored:bamboo_forest, CREATURE, minecraft:panda, 50, 1, 2
273, forest, regions_unexplored:bamboo_forest, CREATURE, unusualprehistory:kentrosaurus, 10, 3, 4
274, forest, regions_unexplored:bamboo_forest, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
275, forest, regions_unexplored:bamboo_forest, CREATURE, eidolon:slimy_slug, 10, 2, 5
276, forest, regions_unexplored:bamboo_forest, CREATURE, meadow:wooly_cow, 10, 2, 3
277, forest, regions_unexplored:bamboo_forest, CREATURE, eidolon:raven, 10, 2, 4
278, forest, regions_unexplored:bamboo_forest, CREATURE, minecraft:cow, 10, 2, 3
279, forest, regions_unexplored:bamboo_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
280, forest, regions_unexplored:bamboo_forest, CREATURE, minecraft:pig, 30, 1, 1
281, forest, regions_unexplored:bamboo_forest, CREATURE, quark:stoneling, 10, 1, 1
282, forest, regions_unexplored:bamboo_forest, AMBIENT, minecraft:bat, 10, 8, 8
283, forest, regions_unexplored:bamboo_forest, AMBIENT, mythicmounts:geckotoalizard, 10, 1, 1
284, forest, regions_unexplored:bamboo_forest, AMBIENT, mythicmounts:dragon, 10, 1, 1
285, forest, regions_unexplored:bamboo_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 40, 4, 6
286, forest, regions_unexplored:bamboo_forest, UNDERGROUND_WATER_CREATURE, species:deepfish, 50, 4, 6
287, forest, regions_unexplored:bamboo_forest, rascals, friendsandfoes:rascal, 10, 1, 1
288, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 50, 4, 4
289, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 50, 4, 4
290, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 10, 1, 1
291, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 50, 4, 4
292, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 50, 4, 4
293, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 5, 1, 4
294, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
295, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 10, 1, 1
